Province,March,April,May,June,July,Augst,September,October,November,December,January,February,
Aceh,-10.74,-26.80,-14.35,-9.03,-9.68,-2.77,-14.07,-11.42,-20.30,-9.32,-19.74,-14.35,
Bali,-34.42,-59.90,-63.77,-54.73,-45.39,-36.00,-35.00,-34.90,-36.00,-35.00,-50.71,-36.93,
Bangka Belitung Islands,-11.05,-30.50,-25.68,-17.73,-12.16,2.61,-1.93,1.97,-3.37,2.03,-17.97,-13.21,
Banten,-4.16,-31.07,-24.77,-4.87,5.10,13.77,1.47,4.61,3.93,9.13,-4.10,-3.09,
Bengkulu,-13.89,-33.90,-33.35,-14.03,-4.97,5.07,-3.43,-1.29,-12.33,-2.35,-12.77,-13.58,
Central Java,-17.66,-33.93,-29.87,-16.93,-12.94,-0.71,-6.03,-4.39,-11.37,-7.06,-23.61,-22.42,
Central Kalimantan,-13.71,-36.27,-34.26,-26.90,-20.48,-11.65,-11.17,-5.77,-12.83,-9.42,-18.77,-11.23,
Central Sulawesi,-4.61,-9.00,-7.77,-5.30,-5.32,10.74,7.97,7.23,0.93,9.32,7.58,-4.86,
East Java,-18.24,-37.67,-36.90,-22.73,-17.61,-8.55,-8.90,-4.61,-9.63,-8.61,-25.32,-20.81,
East Kalimantan,-15.55,-34.23,-22.16,-10.73,-9.13,-6.52,-13.73,-10.77,-11.60,-6.61,-18.39,-18.72,
East Nusa Tenggara,-8.68,-21.27,-17.84,-5.70,1.26,15.39,11.93,17.06,6.93,6.55,-7.52,-13.65,
Gorontalo,15.34,-21.10,-20.06,1.17,13.06,22.00,40.05,46.03,31.40,36.10,13.13,17.14,
Jakarta,-27.39,-55.67,-85.61,-86.03,-72.39,-62.06,-61.83,-55.00,-50.53,-47.52,-53.32,-33.81,
Jambi,-13.89,-30.50,-21.13,-13.13,-9.87,-3.03,-7.63,-15.42,-14.77,0.23,-12.26,-12.30,
Lampung,-15.24,-27.50,-24.84,-16.20,-7.97,8.71,-1.80,-5.35,-13.93,-7.32,-17.55,-18.86,
Maluku,-11.26,-18.57,-19.19,-24.50,-22.55,-10.03,-6.34,8.29,4.97,25.61,7.52,-5.56,
North Kalimantan,-11.47,-35.13,-28.84,-15.33,-9.87,-3.75,-2.32,-1.19,-5.93,-1.00,-15.68,-10.47,
North Maluku,-11.37,-23.97,-21.87,-21.57,-19.16,-11.50,-8.96,0.16,-5.23,4.29,-8.94,-9.37,
North Sulawesi,-17.42,-31.43,-30.94,-26.07,-20.16,-7.45,-10.40,-8.48,-11.90,0.45,-15.58,-16.65,
North Sumatra,-16.26,-40.60,-33.32,-19.47,-13.48,-1.29,-10.67,-8.10,-14.47,-0.35,-3.32,-7.72,
Papua,-11.87,-32.50,-33.13,-20.47,-10.06,-4.15,3.45,6.81,-5.37,12.61,3.84,-7.16,
Riau,-10.32,-15.57,-10.52,-6.73,-6.45,3.42,-4.33,-3.06,-15.37,2.58,-2.90,-8.72,
Riau Islands,-13.16,-35.67,-32.55,-23.83,-17.74,-14.23,-23.90,-14.32,-23.77,-9.23,-26.52,-12.16,
South East Sulawesi,-11.92,-24.27,-22.00,-15.10,-13.71,-0.84,-2.87,5.81,-0.73,10.42,-0.52,-5.67,
South Kalimantan,-8.82,-35.70,-36.77,-25.20,-17.32,-4.97,-7.83,-3.23,-9.47,-0.65,-16.61,-12.07,
South Sulawesi,-13.29,-28.17,-26.29,-12.73,-8.16,9.16,8.60,12.55,1.60,2.87,-13.48,-13.16,
South Sumatra,-5.89,-24.33,-23.48,-12.03,-0.90,8.39,3.13,5.42,-0.47,10.13,-1.77,-5.37,
Special Region of Yogyakarta,-31.79,-58.07,-59.03,-44.67,-35.06,-20.65,-24.97,-20.03,-24.63,-17.35,-37.68,-29.16,
West Java,-12.79,-34.43,-25.61,-8.30,-0.23,9.94,2.07,2.68,-2.33,3.97,-10.00,-11.88,
West Kalimantan,-16.95,-32.30,-27.48,-17.47,-13.94,-2.97,-13.93,-11.55,-21.77,-6.06,-22.58,-15.47,
West Nusa Tenggara,-21.47,-40.40,-38.06,-19.80,-14.74,-8.81,-7.47,-2.58,-11.87,-11.19,-22.58,-24.42,
West Papua,-14.79,-38.40,-36.81,-29.53,-32.03,-27.65,-26.50,-24.97,-28.13,-35.03,-45.16,-29.23,
West Sulawesi,-19.50,-46.70,-50.23,-27.40,-12.03,4.50,12.00,14.52,7.47,12.16,-9.29,-11.40,
West Sumatra,-18.29,-45.37,-38.68,-13.30,-5.42,5.87,-15.10,-11.23,-19.80,6.97,-13.65,-13.49,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
