Provinsi,March,April,May,June,July,Augst,September,October,November,December,January,February
Aceh,2.66,10.23,8.23,5.37,5.29,4.29,5.40,0.52,-3.33,-0.19,-0.94,-4.51
Bali,8.76,18.70,19.55,16.63,15.32,13.48,13.87,12.71,9.90,11.61,13.16,8.14
Bangka Belitung Islands,3.50,13.30,12.87,10.20,8.26,5.87,5.97,2.94,-0.43,3.71,5.97,0.02
Banten,7.95,19.80,19.81,14.67,12.65,11.71,14.07,12.61,10.07,12.39,13.32,6.81
Bengkulu,3.92,12.83,12.77,9.03,7.55,6.29,6.83,2.97,0.23,4.06,3.84,-1.28
Central Java,5.95,14.57,15.06,11.90,11.71,10.52,11.53,9.00,6.73,11.00,11.97,5.12
Central Kalimantan,2.66,10.87,11.77,9.47,8.10,6.58,6.63,2.52,-0.27,2.84,3.39,-1.26
Central Sulawesi,3.74,12.70,11.97,8.97,7.94,6.13,6.97,4.45,0.87,3.42,5.06,0.40
East Java,5.58,14.97,17.06,13.17,12.65,11.48,11.37,8.58,5.40,9.03,10.19,3.77
East Kalimantan,4.63,13.93,13.58,10.23,9.55,9.65,10.13,6.55,3.27,4.77,5.81,1.42
East Nusa Tenggara,4.00,12.03,12.45,7.97,5.87,4.29,5.00,1.55,-2.13,2.29,7.16,2.86
Gorontalo,4.00,15.33,17.71,13.40,11.61,10.39,8.27,4.10,1.07,4.61,5.23,0.40
Jakarta,8.84,22.93,22.39,16.17,13.45,12.58,14.90,14.03,11.13,11.87,12.74,7.28
Jambi,3.68,12.03,11.84,8.47,7.19,6.00,8.20,7.16,3.83,6.35,6.52,1.02
Lampung,5.32,12.13,11.74,9.10,8.03,6.45,9.93,8.45,7.30,10.45,11.45,5.14
Maluku,2.92,12.23,13.29,12.43,11.94,9.13,6.77,-0.81,-5.67,-2.06,-0.52,-3.74
North Kalimantan,2.39,12.50,13.19,9.43,7.77,6.68,5.50,-0.16,-4.00,0.06,0.90,-3.05
North Maluku,1.66,11.33,12.45,10.40,8.74,6.94,4.93,-2.19,-7.03,-3.42,-2.45,-5.60
North Sulawesi,5.34,16.00,16.13,14.37,12.03,9.71,9.67,6.26,3.93,7.29,9.48,2.47
North Sumatra,5.71,15.57,14.52,10.97,10.26,9.00,10.17,7.87,5.87,8.00,7.77,2.95
Papua,3.11,14.57,15.19,11.13,8.19,6.90,5.80,2.00,-2.37,-0.45,0.84,-2.05
Riau,4.13,12.97,12.90,9.03,8.35,6.52,10.10,7.35,4.87,6.42,6.61,1.00
Riau Islands,4.71,15.53,16.71,12.33,11.13,10.81,10.53,6.81,4.97,6.19,5.74,-0.21
South East Sulawesi,5.03,13.40,12.84,9.20,8.23,6.16,8.20,5.55,2.73,5.32,5.97,0.98
South Kalimantan,4.24,13.60,15.39,12.17,11.06,9.90,10.30,7.10,4.70,7.26,8.29,2.00
South Sulawesi,6.03,16.37,16.45,11.50,10.81,7.87,9.57,8.16,6.60,10.94,12.10,5.35
South Sumatra,4.03,13.43,14.58,11.17,9.35,7.65,9.57,7.58,5.50,8.03,8.48,2.79
Special Region of Yogyakarta,7.89,18.03,18.68,13.87,12.00,10.55,11.53,10.68,9.10,11.90,13.00,6.51
West Java,7.50,18.63,18.87,13.67,12.16,11.39,13.63,12.06,9.33,12.45,13.19,6.65
West Kalimantan,4.82,13.43,13.10,9.93,8.84,7.32,8.67,6.10,4.10,5.00,4.87,0.00
West Nusa Tenggara,4.45,14.37,15.03,11.40,10.45,9.55,9.13,3.68,0.17,4.55,4.87,0.63
West Papua,3.45,14.60,14.52,11.67,9.90,8.48,7.70,2.65,-3.00,-0.06,0.97,-2.40
West Sulawesi,4.29,13.23,13.74,9.27,8.81,6.94,8.23,4.45,1.33,4.68,3.97,-0.09
West Sumatra,4.84,14.83,15.32,9.03,7.45,6.39,10.43,8.16,5.57,7.29,6.45,1.28
,,,,,,,,,,,,
,,,,,,,,,,,,
