Province,March,April,May,June,July,Augst,September,October,November,December,January,February
Aceh,-9.32,-26.27,-15.68,-6.67,-4.16,-3.65,-8.83,-9.16,-11.17,-7.52,-16.13,-10.19
Bali,-23.71,-45.33,-46.52,-40.07,-35.90,-32.74,-34.53,-35.74,-34.17,-31.19,-42.32,-29.00
Bangka Belitung Islands,-15.00,-38.10,-28.03,-24.97,-17.97,-14.77,-16.53,-19.55,-19.53,-16.97,-28.94,-18.49
Banten,-12.03,-39.13,-33.13,-20.77,-11.23,-10.13,-13.53,-14.19,-12.67,-9.35,-19.52,-10.44
Bengkulu,-9.58,-31.27,-23.48,-11.40,-3.03,-0.68,-2.43,-3.58,-4.63,-0.48,-10.48,-7.00
Central Java,-11.21,-29.13,-22.55,-11.33,-8.03,-3.13,-6.40,-7.10,-8.00,-7.65,-19.03,-13.00
Central Kalimantan,-10.55,-35.47,-34.32,-22.60,-16.48,-11.97,-13.00,-12.58,-13.40,-11.35,-19.71,-11.95
Central Sulawesi,-8.92,-36.30,-27.55,-16.97,-8.10,-2.00,-4.43,-9.55,-5.77,-0.10,-12.19,-8.28
East Java,-11.66,-30.63,-29.97,-16.93,-13.19,-10.29,-11.73,-12.29,-11.63,-12.71,-23.42,-14.53
East Kalimantan,-14.58,-39.80,-30.55,-19.20,-14.35,-15.97,-18.90,-17.84,-15.40,-11.81,-22.45,-16.21
East Nusa Tenggara,-13.32,-35.57,-33.06,-18.50,-6.84,-2.29,-2.90,-5.03,-2.50,0.35,-22.81,-20.07
Gorontalo,-6.82,-34.03,-36.00,-20.43,-9.87,-3.58,0.00,4.26,6.07,10.06,-4.81,-3.37
Jakarta,-21.92,-56.70,-54.90,-38.63,-28.13,-28.32,-35.00,-37.16,-29.80,-27.48,-36.10,-21.42
Jambi,-10.76,-32.97,-26.39,-16.10,-11.26,-9.87,-13.60,-18.29,-15.63,-10.94,-19.10,-11.26
Lampung,-10.79,-27.47,-22.42,-13.37,-6.81,-1.74,-7.17,-9.13,-10.73,-8.58,-17.74,-12.67
Maluku,-13.55,-38.90,-35.35,-34.57,-31.45,-17.55,-18.53,-17.84,-14.90,-7.74,-19.87,-15.47
North Kalimantan,-12.34,-39.50,-33.68,-19.40,-11.52,-7.90,-8.70,-9.81,-7.00,-8.26,-20.10,-13.35
North Maluku,-13.24,-33.17,-30.71,-27.00,-21.10,-13.75,-13.90,-10.06,-10.63,-6.06,-18.23,-14.33
North Sulawesi,-16.29,-47.07,-44.23,-39.13,-29.16,-20.35,-17.17,-15.19,-12.90,-6.55,-26.81,-15.05
North Sumatra,-15.74,-41.00,-32.77,-23.27,-18.26,-15.84,-18.43,-19.19,-18.67,-12.74,-19.84,-13.56
Papua,-13.97,-44.20,-43.58,-32.30,-21.06,-17.74,-15.10,-16.94,-14.93,-7.77,-20.16,-13.58
Riau,-10.42,-35.23,-28.23,-14.00,-10.10,-9.00,-14.07,-14.03,-13.47,-6.87,-15.61,-10.37
Riau Islands,-14.71,-40.77,-34.68,-26.17,-19.61,-20.74,-23.90,-22.90,-24.00,-19.71,-28.58,-15.79
South East Sulawesi,-13.39,-39.57,-31.32,-18.13,-9.13,-4.68,-6.27,-5.16,-3.03,1.68,-9.03,-7.30
South Kalimantan,-8.79,-34.97,-35.23,-21.73,-16.48,-13.42,-13.73,-11.26,-10.30,-7.68,-20.03,-10.42
South Sulawesi,-14.92,-46.47,-42.48,-25.13,-18.94,-13.55,-11.57,-11.45,-10.47,-12.00,-24.13,-14.33
South Sumatra,-10.26,-35.93,-35.77,-24.40,-16.29,-12.29,-14.23,-15.42,-15.00,-11.55,-18.77,-12.56
Special Region of Yogyakarta,-17.82,-48.37,-47.58,-32.53,-24.61,-18.42,-18.10,-17.48,-16.73,-15.68,-28.00,-16.49
West Java,-14.03,-38.63,-48.74,-33.57,-23.06,-18.00,-20.37,-20.06,-17.50,-15.10,-24.90,-14.84
West Kalimantan,-21.11,-47.33,-42.48,-28.13,-20.87,-17.74,-21.27,-22.94,-23.90,-17.71,-26.10,-16.09
West Nusa Tenggara,-13.84,-38.33,-32.42,-20.63,-13.94,-11.16,-10.00,-10.71,-9.73,-7.97,-19.35,-15.93
West Papua,-10.55,-37.60,-31.26,-22.87,-18.42,-14.71,-17.30,-19.45,-16.30,-8.71,-17.90,-13.14
West Sulawesi,-9.66,-32.93,-26.61,-12.40,-6.39,-3.06,-7.35,-5.16,-4.70,0.23,-14.90,-10.91
West Sumatra,-11.29,-39.17,-35.19,-16.30,-6.90,-2.87,-13.40,-14.19,-12.87,-1.90,-11.16,-8.14
,,,,,,,,,,,,
,,,,,,,,,,,,
