Province,March,April,May,June,July,Augst,September,October,November,December,January,February
Aceh,-12.66,-47.27,-44.68,-37.67,-30.87,-29.19,-26.50,-22.16,-23.10,-12.10,-22.39,-17.26
Bali,-38.97,-71.03,-79.45,-75.30,-70.55,-63.61,-63.97,-62.16,-56.93,-50.13,-66.81,-47.84
Bangka Belitung Islands,-20.45,-64.20,-68.06,-59.57,-41.06,-36.26,-33.00,-30.42,-23.60,-17.84,-37.74,-24.72
Banten,-27.68,-65.37,-65.13,-55.37,-47.29,-43.23,-46.00,-43.48,-37.87,-34.81,-45.87,-28.72
Bengkulu,-14.45,-52.27,-58.26,-47.93,-34.13,-25.00,-24.70,-18.16,-17.00,-13.65,-25.77,-20.79
Central Java,-19.00,-50.67,-52.55,-41.70,-34.55,-25.23,-30.80,-25.68,-25.17,-18.90,-34.81,-22.16
Central Kalimantan,-10.24,-42.70,-47.74,-39.47,-21.23,-14.92,-13.35,-8.19,-5.93,-5.13,-17.26,-12.26
Central Sulawesi,-14.21,-55.60,-58.65,-43.50,-32.90,-24.00,-30.55,-37.81,-18.77,-10.97,-25.97,-14.26
East Java,-19.97,-50.93,-57.39,-44.47,-38.10,-32.19,-32.33,-28.23,-27.07,-22.97,-40.16,-24.91
East Kalimantan,-17.13,-54.13,-57.52,-43.13,-35.48,-32.45,-34.63,-30.19,-25.10,-18.19,-32.35,-22.58
East Nusa Tenggara,-6.11,-44.63,-59.23,-40.80,-19.39,-11.75,-2.80,-6.94,0.50,7.94,-19.10,-15.21
Gorontalo,-19.88,-42.67,-52.93,-40.25,-33.14,-28.60,-10.33,-9.63,-4.06,0.06,1.11,-6.64
Jakarta,-27.08,-67.23,-64.65,-50.97,-41.97,-40.84,-45.60,-42.58,-36.83,-36.39,-43.84,-25.98
Jambi,-13.53,-50.13,-57.74,-44.33,-27.16,-23.10,-27.71,-30.74,-27.13,-19.16,-31.13,-19.28
Lampung,-18.97,-43.03,-45.55,-37.97,-32.16,-22.71,-25.40,-22.65,-23.63,-13.61,-26.61,-24.40
Maluku,-11.55,-42.33,-61.29,-56.30,-46.42,-35.75,-32.25,-23.00,-24.33,-8.55,-22.48,-18.00
North Kalimantan,-12.50,-46.53,-51.29,-37.00,-28.81,-23.63,-23.20,-25.55,-16.93,-14.87,-29.42,-15.72
North Maluku,-17.50,-44.40,-52.90,-41.10,-25.16,-14.94,-21.30,-22.97,-22.23,-5.55,-9.58,-9.28
North Sulawesi,-11.95,-55.40,-62.94,-54.40,-43.87,-36.10,-25.20,-19.52,-13.53,-5.61,-20.77,-15.33
North Sumatra,-17.66,-50.00,-49.90,-40.47,-33.52,-30.39,-31.00,-28.39,-28.00,-13.94,-23.65,-17.63
Papua,-13.26,-53.37,-55.90,-45.67,-32.42,-26.23,-14.97,-14.48,-12.47,-1.29,-15.45,-11.49
Riau,-18.34,-51.07,-54.61,-43.37,-40.26,-39.19,-42.00,-35.16,-35.73,-22.39,-28.52,-19.44
Riau Islands,-31.03,-64.53,-71.48,-60.83,-53.16,-53.58,-55.20,-53.87,-51.70,-46.06,-56.81,-37.86
South East Sulawesi,-15.24,-51.50,-57.29,-42.60,-28.77,-15.00,-16.15,-6.19,-0.40,4.77,-19.58,-12.09
South Kalimantan,-15.03,-51.07,-57.81,-46.33,-39.45,-31.58,-32.73,-26.16,-21.27,-19.42,-34.74,-19.72
South Sulawesi,-19.24,-59.00,-67.71,-55.73,-49.32,-42.10,-39.07,-34.55,-30.83,-27.81,-39.81,-24.79
South Sumatra,-15.47,-46.83,-51.35,-45.70,-40.35,-38.39,-38.47,-36.42,-34.63,-26.94,-35.71,-22.81
Special Region of Yogyakarta,-33.05,-68.90,-76.68,-64.83,-56.77,-48.61,-49.97,-46.23,-43.30,-38.81,-54.32,-40.02
West Java,-19.71,-56.10,-49.39,-34.90,-26.58,-23.35,-31.70,-25.90,-23.20,-19.77,-33.68,-19.77
West Kalimantan,-26.18,-50.53,-52.26,-43.97,-32.97,-28.87,-34.77,-36.39,-35.53,-26.81,-40.81,-29.35
West Nusa Tenggara,-18.74,-55.73,-61.23,-54.97,-51.71,-45.13,-33.50,-30.13,-27.50,-22.13,-41.48,-29.51
West Papua,-19.26,-67.07,-63.55,-55.07,-46.81,-39.19,-38.35,-36.97,-31.10,-17.23,-30.65,-21.91
West Sulawesi,0.08,-53.37,-59.32,-41.17,-33.74,-24.38,-21.95,-15.87,-23.33,-15.29,-5.39,7.77
West Sumatra,-17.05,-52.80,-54.97,-41.50,-32.13,-27.77,-32.40,-27.68,-25.13,-9.77,-23.71,-17.79
,,,,,,,,,,,,
,,,,,,,,,,,,
