Province,March,April,May,June,July,Augst,September,October,November,December,January,February
Aceh,-8.95,-22.13,-23.32,-10.60,-10.55,-12.39,-11.60,-19.87,-18.47,-22.13,-23.32,-15.60
Bali,-22.21,-40.87,-40.52,-35.13,-35.61,-34.90,-38.53,-36.48,-34.43,-35.10,-40.52,-33.00
Bangka Belitung Islands,-9.71,-25.33,-26.48,-14.90,-14.16,-13.61,-11.40,-20.42,-19.27,-24.45,-29.16,-19.23
Banten,-11.97,-34.63,-37.74,-23.13,-21.10,-21.90,-20.53,-23.06,-19.70,-24.00,-26.52,-15.65
Bengkulu,-11.97,-27.63,-26.97,-15.33,-14.13,-14.23,-11.90,-20.68,-19.90,-24.97,-26.48,-17.30
Central Java,-13.34,-28.67,-29.52,-16.40,-15.10,-14.32,-13.57,-19.74,-19.27,-23.16,-26.26,-17.84
Central Kalimantan,-9.79,-23.17,-23.55,-13.80,-13.81,-13.26,-12.50,-20.84,-20.93,-24.97,-25.55,-17.86
Central Sulawesi,-8.58,-23.27,-20.42,-9.63,-10.16,-9.81,-8.83,-18.87,-18.67,-22.13,-25.13,-16.47
East Java,-11.63,-28.47,-32.42,-19.73,-18.81,-18.23,-15.80,-20.03,-18.20,-22.68,-26.19,-15.91
East Kalimantan,-10.97,-25.97,-25.48,-14.37,-14.90,-16.97,-17.10,-21.26,-19.50,-22.00,-24.94,-17.51
East Nusa Tenggara,-8.79,-24.10,-18.48,-7.27,-6.10,-4.87,-2.00,-12.39,-10.57,-16.87,-24.32,-17.37
Gorontalo,-7.63,-29.77,-30.32,-18.07,-16.00,-15.94,-10.97,-17.26,-11.63,-16.77,-19.65,-13.28
Jakarta,-16.11,-46.00,-46.90,-32.47,-29.32,-30.10,-30.27,-31.45,-26.50,-30.77,-33.00,-20.37
Jambi,-9.39,-24.83,-26.16,-13.93,-13.52,-12.52,-11.10,-21.97,-20.47,-23.68,-24.61,-15.74
Lampung,-13.53,-28.43,-28.29,-17.80,-17.10,-14.90,-15.37,-24.42,-24.50,-27.87,-28.74,-19.26
Maluku,-13.18,-30.53,-27.94,-20.27,-20.03,-17.97,-17.47,-26.65,-24.63,-29.00,-29.81,-20.77
North Kalimantan,-8.76,-25.00,-24.61,-10.73,-10.45,-12.10,-11.00,-18.32,-16.70,-22.52,-25.90,-18.40
North Maluku,-9.21,-22.73,-21.68,-13.57,-13.00,-13.48,-14.30,-23.87,-23.27,-26.23,-27.32,-18.63
North Sulawesi,-10.58,-30.63,-26.71,-19.33,-19.13,-16.84,-15.40,-19.68,-18.47,-23.00,-25.10,-13.93
North Sumatra,-11.03,-30.20,-30.55,-19.53,-19.61,-19.61,-18.57,-23.97,-21.87,-24.74,-27.52,-16.95
Papua,-9.84,-27.93,-26.58,-14.40,-12.58,-12.81,-13.37,-22.61,-19.63,-24.13,-25.26,-18.19
Riau,-10.00,-24.10,-26.00,-14.10,-14.13,-14.81,-15.40,-23.29,-22.17,-24.00,-25.65,-16.63
Riau Islands,-7.89,-24.03,-29.06,-16.73,-16.19,-18.61,-16.97,-19.87,-18.93,-22.32,-23.90,-14.12
South East Sulawesi,-10.05,-25.50,-22.19,-11.37,-11.35,-10.74,-9.37,-18.48,-16.53,-18.29,-18.61,-12.51
South Kalimantan,-9.55,-25.50,-27.87,-17.73,-18.45,-18.61,-16.37,-21.16,-19.57,-21.87,-27.77,-16.65
South Sulawesi,-13.53,-35.43,-34.23,-22.27,-22.03,-21.42,-18.57,-23.03,-21.20,-25.84,-30.81,-18.14
South Sumatra,-9.21,-28.27,-29.71,-19.07,-18.48,-17.65,-15.67,-23.26,-21.77,-24.90,-25.74,-16.26
Special Region of Yogyakarta,-14.08,-38.10,-39.68,-29.43,-27.19,-25.55,-22.00,-24.35,-21.93,-25.42,-28.97,-17.16
West Java,-13.13,-35.37,-37.03,-22.57,-20.39,-20.32,-19.23,-22.42,-19.57,-23.39,-25.87,-16.12
West Kalimantan,-12.16,-28.07,-28.94,-17.43,-16.32,-16.45,-16.03,-22.77,-23.27,-25.06,-26.16,-17.47
West Nusa Tenggara,-10.87,-27.67,-27.71,-16.37,-15.71,-14.61,-11.37,-17.84,-15.87,-19.29,-21.87,-17.16
West Papua,-10.45,-28.13,-26.19,-17.23,-15.23,-14.32,-15.63,-26.13,-24.93,-29.61,-30.26,-20.37
West Sulawesi,-12.11,-27.37,-20.97,-7.03,-8.10,-7.97,-8.67,-19.23,-17.27,-20.77,-33.61,-20.49
West Sumatra,-9.58,-33.57,-33.48,-19.47,-17.03,-17.23,-16.57,-24.61,-21.93,-23.39,-22.97,-12.81
,,,,,,,,,,,,
,,,,,,,,,,,,
